comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
농심,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
현대백화점,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
GS건설,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
현대미포조선,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
한국타이어월드와이드,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
한화테크윈,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
코오롱인더스트리,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
한전KPS,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
일진머티리얼즈,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
영진약품,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
두산중공업,2.5,5.5,2.5,5.5,4.5,6.5,4.5,6.5
신세계,2.5,6.5,2.5,6.5,4.5,6.5,4.5,6.5
롯데칠성음료,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
SK네트웍스,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
두산인프라코어,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
하이트진로,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
LS산전,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
현대위아,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
녹십자홀딩스,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
대한유화,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
엘아이지넥스원,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
SKC,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
현대그린푸드,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
SK케미칼,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
현대로템,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
현대홈쇼핑,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
풍산,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
영원무역,2.5,4.5,2.5,4.5,4.5,7.5,4.5,7.5
씨제이씨지브이,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
이노션,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
태광산업,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
한국콜마,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
쌍용양회공업,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
넥센타이어,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
동원시스템즈,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
대웅제약,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
현대엘리베이터,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
SPC삼립,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
쿠쿠전자,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
LG상사,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
세아베스틸,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
동국제강,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
코스맥스,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
후성,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
롯데정밀화학,2.5,4.5,2.5,4.5,4.5,6.5,4.5,6.5
락앤락,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
종근당,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
한세실업,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
휴켐스,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
부광약품,2.5,5.5,2.5,5.5,4.5,7.5,4.5,7.5
삼양사,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
한일시멘트,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
AK홀딩스,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
한솔케미칼,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
삼양홀딩스,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
롯데푸드,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
엘지하우시스,2.5,4.5,2.5,4.5,4.5,7.5,4.5,7.5
JW중외제약,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
금호타이어,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
한섬,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
한국단자공업,2.5,6.5,2.5,6.5,4.5,6.5,4.5,6.5
LF,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
쌍용자동차,2.5,7.5,2.5,7.5,4.5,7.5,4.5,7.5
동원F&B,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
동아쏘시오홀딩스,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
대교,2.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
